ID,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,default
100000,2,2,1,24,20000,1
100001,2,2,2,34,90000,0
100002,2,2,1,37,50000,0
100003,1,2,1,57,50000,0
100004,1,1,2,37,50000,0
100005,2,2,2,23,100000,0
100006,2,3,1,28,140000,0
100007,1,3,2,35,20000,0
100008,2,3,2,34,200000,0
100009,2,1,2,51,260000,0
100010,2,2,2,41,630000,0
100011,1,1,2,29,250000,0
100012,2,3,3,23,50000,0
100013,1,1,2,24,20000,1
100014,1,1,1,49,320000,0
100015,2,1,1,49,360000,0
100016,2,1,2,29,180000,0
100017,2,3,2,39,130000,0
100018,2,2,2,26,70000,1
100019,2,1,1,40,450000,1
100020,1,1,2,23,90000,0
100021,1,3,2,23,50000,0
100022,1,1,2,27,60000,1
100023,2,3,2,30,50000,0
100024,2,3,1,47,50000,0
100025,1,1,2,26,50000,0
100026,2,1,2,27,230000,0
100027,1,2,2,33,50000,1
100028,1,1,2,32,100000,0
100029,2,2,1,54,500000,0
100030,1,1,1,58,500000,0
100031,1,1,2,30,160000,0
100032,1,2,1,40,280000,0
100033,1,1,2,25,50000,1
100034,1,1,2,31,280000,0
100035,1,1,2,33,360000,0
100036,2,1,2,25,70000,0
100037,1,2,2,22,10000,0
100038,2,5,2,46,150000,1
100039,1,2,2,32,380000,0
100040,1,3,2,42,70000,1
100041,2,2,1,49,310000,0
100042,2,1,2,25,180000,0
100043,2,1,2,29,150000,0
100044,2,3,1,34,180000,0
100045,2,2,1,34,180000,0
100046,2,1,2,34,200000,0
100047,2,2,1,29,400000,0
100048,2,3,1,28,500000,1
100049,1,2,1,39,70000,0
100050,2,2,1,46,50000,1
100051,2,2,1,51,130000,0
100052,1,1,1,57,200000,1
100053,1,2,1,56,10000,1
100054,2,3,2,29,130000,0
100055,1,1,2,31,80000,0
100056,1,2,2,29,320000,1
100057,2,2,1,32,200000,0
100058,1,2,2,24,20000,0
100059,1,3,2,25,50000,0
100060,2,1,1,45,300000,0
100061,2,2,2,22,30000,1
100062,2,2,2,44,240000,1
100063,2,3,3,33,470000,0
100064,2,1,2,26,360000,0
100065,1,3,2,30,60000,1
100066,2,2,1,44,400000,0
100067,2,3,2,49,50000,0
100068,1,2,2,33,160000,0
100069,2,1,1,45,360000,1
100070,2,2,2,32,160000,0
100071,2,1,1,35,130000,0
100072,1,1,1,53,200000,1
100073,2,1,2,39,280000,0
100074,2,1,2,27,100000,0
100075,2,2,1,37,160000,0
100076,2,2,2,23,60000,0
100077,1,2,2,35,90000,0
100078,1,1,1,43,360000,0
100079,2,3,1,22,50000,0
100080,1,1,2,32,140000,0
100081,2,1,2,30,380000,0
100082,1,1,1,63,480000,0
100083,2,3,2,22,50000,1
100084,2,2,2,26,60000,0
100085,2,2,1,36,80000,0
100086,1,1,2,52,350000,0
100087,1,2,2,38,130000,0
100088,1,2,1,35,360000,0
100089,2,1,1,31,330000,0
100090,1,3,1,47,50000,0
100091,1,2,1,41,280000,0
100092,2,1,2,24,100000,0
100093,1,2,2,41,50000,0
100094,1,1,2,28,240000,0
100095,2,2,2,38,240000,0
100096,1,3,2,37,50000,1
