"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_1","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default"
"20000","2","2","1","24","2","2","-1","-1","-2","-2","3913","3102.0","689.0","0","0","0.0","0.0","689.0","0.0","0.0","0.0","0.0","1"
"90000","2","2","2","34","0","0","0","0","0","0","29239","14027.0","13559.0","14331","14948","15549.0","1518.0","1500.0","1000.0","1000.0","1000.0","5000.0","0"
"50000","2","2","1","37","0","0","0","0","0","0","46990","48233.0","49291.0","28314","28959","29547.0","2000.0","2019.0","1200.0","1100.0","1069.0","1000.0","0"
"50000","1","2","1","57","-1","0","-1","0","0","0","8617","5670.0","35835.0","20940","19146","19131.0","2000.0","36681.0","10000.0","9000.0","689.0","679.0","0"
"50000","1","1","2","37","0","0","0","0","0","0","64400","57069.0","57608.0","19394","19619","20024.0","2500.0","1815.0","657.0","1000.0","1000.0","800.0","0"
"100000","2","2","2","23","0","-1","-1","0","0","-1","11876","380.0","601.0","221","-159","567.0","380.0","601.0","0.0","581.0","1687.0","1542.0","0"
"140000","2","3","1","28","0","0","2","0","0","0","11285","14096.0","12108.0","12211","11793","3719.0","3329.0","0.0","432.0","1000.0","1000.0","1000.0","0"
"20000","1","3","2","35","-2","-2","-2","-2","-1","-1","0","0.0","0.0","0","13007","13912.0","0.0","0.0","0.0","13007.0","1122.0","0.0","0"
"200000","2","3","2","34","0","0","2","0","0","-1","11073","9787.0","5535.0","2513","1828","3731.0","2306.0","12.0","50.0","300.0","3738.0","66.0","0"
"260000","2","1","2","51","-1","-1","-1","-1","-1","2","12261","21670.0","9966.0","8517","22287","13668.0","21818.0","9966.0","8583.0","22301.0","0.0","3640.0","0"
"630000","2","2","2","41","-1","0","-1","-1","-1","-1","12137","6500.0","6500.0","6500","6500","2870.0","1000.0","6500.0","6500.0","6500.0","2870.0","0.0","0"
"250000","1","1","2","29","0","0","0","0","0","0","70887","67060.0","63561.0","59696","56875","55512.0","3000.0","3000.0","3000.0","3000.0","3000.0","3000.0","0"
"50000","2","3","3","23","1","2","0","0","0","0","50614","29173.0","28116.0","28771","29531","30211.0","0.0","1500.0","1100.0","1200.0","1300.0","1100.0","0"
"20000","1","1","2","24","0","0","2","2","2","2","15376","18010.0","17428.0","18338","17905","19104.0","3200.0","0.0","1500.0","0.0","1650.0","0.0","1"
"320000","1","1","1","49","0","0","0","-1","-1","-1","253286","246536.0","194663.0","70074","5856","195599.0","10358.0","10000.0","75940.0","20000.0","195599.0","50000.0","0"
"360000","2","1","1","49","1","-2","-2","-2","-2","-2","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"180000","2","1","2","29","1","-2","-2","-2","-2","-2","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"130000","2","3","2","39","0","0","0","0","0","-1","38358","27688.0","24489.0","20616","11802","930.0","3000.0","1537.0","1000.0","2000.0","930.0","33764.0","0"
"70000","2","2","2","26","2","0","0","2","2","2","41087","42445.0","45020.0","44006","46905","46012.0","2007.0","3582.0","0.0","3601.0","0.0","1820.0","1"
"450000","2","1","1","40","-2","-2","-2","-2","-2","-2","5512","19420.0","1473.0","560","0","0.0","19428.0","1473.0","560.0","0.0","0.0","1128.0","1"
"90000","1","1","2","23","0","0","0","-1","0","0","4744","7070.0","0.0","5398","6360","8292.0","5757.0","0.0","5398.0","1200.0","2045.0","2000.0","0"
"50000","1","3","2","23","0","0","0","0","0","0","47620","41810.0","36023.0","28967","29829","30046.0","1973.0","1426.0","1001.0","1432.0","1062.0","997.0","0"
"60000","1","1","2","27","1","-2","-1","-1","-1","-1","-109","-425.0","259.0","-57","127","-189.0","0.0","1000.0","0.0","500.0","0.0","1000.0","1"
"50000","2","3","2","30","0","0","0","0","0","0","22541","16138.0","17163.0","17878","18931","19617.0","1300.0","1300.0","1000.0","1500.0","1000.0","1012.0","0"
"50000","2","3","1","47","-1","-1","-1","-1","-1","-1","650","3415.0","3416.0","2040","30430","257.0","3415.0","3421.0","2044.0","30430.0","257.0","0.0","0"
"50000","1","1","2","26","0","0","0","0","0","0","15329","16575.0","17496.0","17907","18375","11400.0","1500.0","1500.0","1000.0","1000.0","1600.0","0.0","0"
"230000","2","1","2","27","-1","-1","-1","-1","-1","-1","16646","17265.0","13266.0","15339","14307","36923.0","17270.0","13281.0","15339.0","14307.0","37292.0","0.0","0"
"50000","1","2","2","33","2","0","0","0","0","0","30518","29618.0","22102.0","22734","23217","23680.0","1718.0","1500.0","1000.0","1000.0","1000.0","716.0","1"
"100000","1","1","2","32","0","0","0","0","0","0","93036","84071.0","82880.0","80958","78703","75589.0","3023.0","3511.0","3302.0","3204.0","3200.0","2504.0","0"
"500000","2","2","1","54","-2","-2","-2","-2","-2","-2","10929","4152.0","22722.0","7521","71439","8981.0","4152.0","22827.0","7521.0","71439.0","981.0","51582.0","0"
"500000","1","1","1","58","-2","-2","-2","-2","-2","-2","13709","5006.0","31130.0","3180","0","5293.0","5006.0","31178.0","3180.0","0.0","5293.0","768.0","0"
"160000","1","1","2","30","-1","-1","-2","-2","-2","-1","30265","-131.0","-527.0","-923","-1488","-1884.0","131.0","396.0","396.0","565.0","792.0","0.0","0"
"280000","1","2","1","40","0","0","0","0","0","0","186503","181328.0","180422.0","170410","173901","177413.0","8026.0","8060.0","6300.0","6400.0","6400.0","6737.0","0"
"50000","1","1","2","25","1","-1","-1","-2","-2","-2","0","780.0","0.0","0","0","0.0","780.0","0.0","0.0","0.0","0.0","0.0","1"
"280000","1","1","2","31","-1","-1","2","-1","0","-1","498","9075.0","4641.0","9976","17976","9477.0","9075.0","0.0","9976.0","8000.0","9525.0","781.0","0"
"360000","1","1","2","33","0","0","0","0","0","0","218668","221296.0","206895.0","628699","195969","179224.0","10000.0","7000.0","6000.0","188840.0","28000.0","4000.0","0"
"70000","2","1","2","25","0","0","0","0","0","0","67521","66999.0","63949.0","63699","64718","65970.0","3000.0","4500.0","4042.0","2500.0","2800.0","2500.0","0"
"10000","1","2","2","22","0","0","0","0","0","0","1877","3184.0","6003.0","3576","3670","4451.0","1500.0","2927.0","1000.0","300.0","1000.0","500.0","0"
"150000","2","5","2","46","0","0","-1","0","0","-2","4463","3034.0","1170.0","1170","0","0.0","1013.0","1170.0","0.0","0.0","0.0","0.0","1"
"380000","1","2","2","32","-1","-1","-1","-1","-1","-1","22401","21540.0","15134.0","32018","11849","11873.0","21540.0","15138.0","24677.0","11851.0","11875.0","8251.0","0"
"70000","1","3","2","42","1","2","2","2","2","0","37042","36171.0","38355.0","39423","38659","39362.0","0.0","3100.0","2000.0","0.0","1500.0","1500.0","1"
"310000","2","2","1","49","-2","-2","-2","-2","-2","-2","13465","7867.0","7600.0","11185","3544","464.0","7875.0","7600.0","11185.0","3544.0","464.0","0.0","0"
"180000","2","1","2","25","1","2","0","0","0","0","41402","41742.0","42758.0","43510","44420","45319.0","1300.0","2010.0","1762.0","1762.0","1790.0","1622.0","0"
